rank	term_norm	display	freq
1	i	I	32415
2	jer	jer	32415
3	jeres	jeres	32415
4	er	er	30925
5	var	var	30925
6	vær	vær	30925
7	være	være	30925
8	værede	værede	30925
9	værende	værende	30925
10	væres	væres	30925
11	været	været	30925
12	og	og	29710
13	en	en	25382
14	ens	ens	25382
15	et	et	25382
16	de	de	24577
17	den	den	24577
18	dens	dens	24577
19	det	det	24577
20	pa	på	15144
21	til	til	15133
22	af	af	14464
23	at	at	14360
24	haft	haft	13944
25	hafte	hafte	13944
26	har	har	13944
27	hav	hav	13944
28	havde	havde	13944
29	have	have	13944
30	haven	haven	13944
31	havende	havende	13944
32	havens	havens	13944
33	haver	haver	13944
34	haverne	haverne	13944
35	havernes	havernes	13944
36	havers	havers	13944
37	haves	haves	13944
38	for	for	12818
39	forene	forene	12818
40	forenes	forenes	12818
41	foret	foret	12818
42	forets	forets	12818
43	fors	fors	12818
44	fx	fx	12818
45	der	der	12740
46	med	med	11167
47	som	som	10087
48	ikke	ikke	9017
49	kan	kan	6746
50	kunne	kunne	6746
51	kunnede	kunnede	6746
52	kunnet	kunnet	6746
53	blev	blev	6638
54	blevede	blevede	6638
55	blevet	blevet	6638
56	bliv	bliv	6638
57	blive	blive	6638
58	blivende	blivende	6638
59	bliver	bliver	6638
60	blives	blives	6638
61	ham	ham	6459
62	han	han	6459
63	hanen	hånen	6459
64	hanens	hånens	6459
65	hannen	hannen	6459
66	hannens	hannens	6459
67	hanner	hanner	6459
68	hannerne	hannerne	6459
69	hannernes	hannernes	6459
70	hanners	hanners	6459
71	hans	hans	6459
72	om	om	5978
73	men	men	5780
74	menen	menen	5780
75	menene	menene	5780
76	menenes	menenes	5780
77	menens	menens	5780
78	menet	menet	5780
79	menets	menets	5780
80	mens	mens	5780
81	jeg	jeg	5582
82	jeger	jeger	5582
83	jegerne	jegerne	5582
84	jegernes	jegernes	5582
85	jegers	jegers	5582
86	jeget	jeget	5582
87	jegets	jegets	5582
88	jegs	jegs	5582
89	mig	mig	5582
90	os	os	5506
91	vi	vi	5506
92	vie	vie	5506
93	viede	viede	5506
94	viende	viende	5506
95	vier	vier	5506
96	vierne	vierne	5506
97	viernes	viernes	5506
98	viers	viers	5506
99	vies	vies	5506
100	viet	viet	5506
101	viets	viets	5506
102	vir	vir	5506
103	vis	vis	5506
104	vores	vores	5506
105	fra	fra	5256
106	dem	Dem	4750
107	deres	Deres	4750
108	skal	skål	4471
109	skulle	skulle	4471
110	skullede	skullede	4471
111	skullet	skullet	4471
112	man	man	4135
113	manen	Månen	4135
114	manens	Månens	4135
115	maner	maner	4135
116	manerne	manerne	4135
117	manernes	manernes	4135
118	maners	maners	4135
119	mans	mans	4135
120	megen	megen	4063
121	meget	meget	4063
122	sa	så	4042
123	saede	såede	4042
124	saende	sående	4042
125	saere	såere	4042
126	saest	såest	4042
127	saeste	såeste	4042
128	saet	sået	4042
129	sar	sår	4042
130	sas	sås	4042
131	sig	sig	4040
132	vil	vil	3980
133	ville	ville	3980
134	villede	villede	3980
135	villet	villet	3980
136	fa	få	3707
137	faede	fåede	3707
138	faende	fående	3707
139	faer	faer	3707
140	faerne	faerne	3707
141	faernes	faernes	3707
142	faers	faers	3707
143	faet	fået	3707
144	faets	faets	3707
145	far	får	3707
146	fas	fås	3707
147	fik	fik	3707
148	færre	færre	3707
149	færrest	færrest	3707
150	færreste	færreste	3707
151	sagde	sagde	3549
152	sagdes	sagdes	3549
153	sagt	sagt	3549
154	sagte	sagte	3549
155	sige	sige	3549
156	sigende	sigende	3549
157	siger	siger	3549
158	siges	siges	3549
159	ar	år	3457
160	aren	aren	3457
161	arene	årene	3457
162	arenes	årenes	3457
163	arens	arens	3457
164	aret	året	3457
165	arets	årets	3457
166	arrene	arrene	3457
167	arrenes	arrenes	3457
168	arret	arret	3457
169	arrets	arrets	3457
170	ars	års	3457
171	ogsa	også	3311
172	anden	anden	3135
173	andens	andens	3135
174	andet	andet	3135
175	andets	andets	3135
176	andre	andre	3135
177	bedre	bedre	2984
178	bedst	bedst	2984
179	bedste	bedste	2984
180	god	god	2984
181	gode	gode	2984
182	godt	godt	2984
183	nogen	nogen	2926
184	nogens	nogens	2926
185	noget	noget	2926
186	nogle	nogle	2926
187	stor	stor	2873
188	store	store	2873
189	stort	stort	2873
190	større	større	2873
191	størst	størst	2873
192	største	største	2873
193	ved	ved	2870
194	veddet	veddet	2870
195	veddets	veddets	2870
196	veds	veds	2870
197	hvor	hvor	2720
198	sin	sin	2719
199	sine	sine	2719
200	sit	sit	2719
201	kom	kom	2693
202	komme	komme	2693
203	kommede	kommede	2693
204	kommende	kommende	2693
205	kommer	kommer	2693
206	kommes	kommes	2693
207	kommet	kommet	2693
208	hende	hende	2499
209	hendes	hendes	2499
210	hun	hun	2499
211	hunnen	hunnen	2499
212	hunnens	hunnens	2499
213	hunner	hunner	2499
214	hunnerne	hunnerne	2499
215	hunnernes	hunnernes	2499
216	hunners	hunners	2499
217	huns	huns	2499
218	eller	eller	2203
219	al	al	2110
220	alen	alen	2110
221	alene	alene	2110
222	alenes	ålenes	2110
223	alens	alens	2110
224	alle	alle	2110
225	als	als	2110
226	alt	alt	2110
227	ud	ud	2092
228	efter	efter	2065
229	hel	hel	2034
230	hele	hele	2034
231	helere	helere	2034
232	helest	helest	2034
233	heleste	heleste	2034
234	helt	helt	2034
235	ny	ny	2031
236	nye	nye	2031
237	nyer	nyer	2031
